"	192",柳林,2017-03-25,10.9,,
"	192",柳林,2017-03-26,0.7,,
"	192",柳林,2017-03-27,,,
"	192",柳林,2017-03-28,0.6,,
"	192",柳林,2017-03-29,4.5,,
"	192",柳林,2017-03-30,,,
"	192",柳林,2017-03-31,2.6,,
"	192",柳林,2017-04-01,0.6,0.5,16:26
"	192",柳林,2017-04-02,,,
"	192",柳林,2017-04-03,,,
"	192",柳林,2017-04-04,,,
"	192",柳林,2017-04-05,48.5,10.4,22:10
"	192",柳林,2017-04-06,15.7,7.1,0:07
"	192",柳林,2017-04-07,,,
"	192",柳林,2017-04-08,,,
"	192",柳林,2017-04-09,,,
"	192",柳林,2017-04-10,0.1,0.1,
"	192",柳林,2017-04-11,11.5,3.5,4:37
"	192",柳林,2017-04-12,,,
"	192",柳林,2017-04-13,,,
"	192",柳林,2017-04-14,0,0,
"	192",柳林,2017-04-15,0,0,
"	192",柳林,2017-04-16,,,
"	192",柳林,2017-04-17,16.5,11.5,7:36
"	192",柳林,2017-04-18,0,0,
"	192",柳林,2017-04-19,,,
"	192",柳林,2017-04-20,0.2,0.2,
"	192",柳林,2017-04-21,,,
"	192",柳林,2017-04-22,0,0,
"	192",柳林,2017-04-23,,,
"	192",柳林,2017-04-24,,,
"	192",柳林,2017-04-25,0.1,0.1,
"	192",柳林,2017-04-26,1.7,0.5,8:19
"	192",柳林,2017-04-27,,,
"	192",柳林,2017-04-28,,,
"	192",柳林,2017-04-29,,,
"	192",柳林,2017-04-30,,,
"	192",柳林,2017-05-01,,,
"	192",柳林,2017-05-02,,,
"	192",柳林,2017-05-03,,,
"	192",柳林,2017-05-04,0.6,0.6,21:14
"	192",柳林,2017-05-05,4,2.6,17:33
"	192",柳林,2017-05-06,,,
"	192",柳林,2017-05-07,,,
"	192",柳林,2017-05-08,,,
"	192",柳林,2017-05-09,25.3,10.1,16:15
"	192",柳林,2017-05-10,0.1,0.1,
"	192",柳林,2017-05-11,,,
"	192",柳林,2017-05-12,9.1,2.6,11:08
"	192",柳林,2017-05-13,,,
"	192",柳林,2017-05-14,,,
"	192",柳林,2017-05-15,,,
"	192",柳林,2017-05-16,,,
"	192",柳林,2017-05-17,,,
"	192",柳林,2017-05-18,,,
"	192",柳林,2017-05-19,,,
"	192",柳林,2017-05-20,,,
"	192",柳林,2017-05-21,,,
"	192",柳林,2017-05-22,,,
"	192",柳林,2017-05-23,,,
"	192",柳林,2017-05-24,3.9,3.9,20:37
"	192",柳林,2017-05-25,,,
"	192",柳林,2017-05-26,,,
"	192",柳林,2017-05-27,,,
"	192",柳林,2017-05-28,,,
"	192",柳林,2017-05-29,,,
"	192",柳林,2017-05-30,,,
"	192",柳林,2017-05-31,0.8,0.6,21:19
"	192",柳林,2017-06-01,,,
"	192",柳林,2017-06-02,,,
"	192",柳林,2017-06-03,0,0,
"	192",柳林,2017-06-04,,,
"	192",柳林,2017-06-05,,,
"	192",柳林,2017-06-06,10.7,2.9,22:35
"	192",柳林,2017-06-07,12.6,3.2,3:29
"	192",柳林,2017-06-08,,,
"	192",柳林,2017-06-09,,,
"	192",柳林,2017-06-10,,,
"	192",柳林,2017-06-11,2.3,2.3,5:35
"	192",柳林,2017-06-12,,,
"	192",柳林,2017-06-13,0.3,0.2,
"	192",柳林,2017-06-14,,,
"	192",柳林,2017-06-15,,,
"	192",柳林,2017-06-16,,,
"	192",柳林,2017-06-17,,,
"	192",柳林,2017-06-18,,,
"	192",柳林,2017-06-19,,,
"	192",柳林,2017-06-20,10.3,5.1,18:36
"	192",柳林,2017-06-21,,,
"	192",柳林,2017-06-22,,,
"	192",柳林,2017-06-23,,,
"	192",柳林,2017-06-24,,,
"	192",柳林,2017-06-25,0.5,0.5,23:00
"	192",柳林,2017-06-26,10.5,8,15:41
"	192",柳林,2017-06-27,0,0,
"	192",柳林,2017-06-28,,,
"	192",柳林,2017-06-29,4.8,4.1,19:34
"	192",柳林,2017-06-30,0,0,
"	192",柳林,2017-07-01,,,
"	192",柳林,2017-07-02,1.4,1.3,10:21
"	192",柳林,2017-07-03,0.3,0.3,13:26
"	192",柳林,2017-07-04,1.9,1,6:39
"	192",柳林,2017-07-05,17.6,11.4,1:21
"	192",柳林,2017-07-06,5.2,4.4,16:32
"	192",柳林,2017-07-07,0.3,0.2,
"	192",柳林,2017-07-08,7.1,2,10:07
"	192",柳林,2017-07-09,,,
"	192",柳林,2017-07-10,0,0,
